length,rapidfuzz,python-Levenshtein,cdifflib
461,0.00020100202003959567,0.0016679169901181012,0.0005234867698163725
463,0.00019156827998813243,0.0017122637599823066,0.0005402505298843607
465,0.00019331514980876818,0.0017182528000557794,0.0005506127901026048
467,0.00019886053021764383,0.0017261454899562523,0.0005429407698102296
469,0.000195602809835691,0.0017264983701170422,0.00054304166988004
471,0.00018760499980999157,0.001813391110044904,0.0005607999800122343
473,0.00019401108991587535,0.0018781418100115843,0.0006422917800955474
475,0.0002080737700453028,0.0017674248100956903,0.0006175836001057178
477,0.0002009944900055416,0.001802894480060786,0.0005756290399585851
479,0.00020704087015474215,0.0019027652399381623,0.000586979350191541
481,0.00020779422979103402,0.0018156717400415801,0.0005855960102053359
483,0.0002072357799625024,0.0018932764598866925,0.0005973634397378191
485,0.00020789467002032324,0.0018505127998651005,0.0006149220699444414
487,0.00020073436986422165,0.0018776009400608019,0.000642778720066417
489,0.00020254884992027656,0.0018733889600844123,0.0006145376598578878
491,0.00023633629985852166,0.0019237385599990375,0.0006039168100687675
493,0.00021215166983893141,0.001930512370017823,0.0006040172799839638
495,0.0002083254902390763,0.0019675338198430837,0.0006218654700205662
497,0.00021826807002071292,0.00198528657987481,0.0006398329799412749
499,0.00021280583983752878,0.002003408899763599,0.0006514408698421903
501,0.00020932560000801458,0.00197448835009709,0.0006308947200886905
503,0.00021432032983284444,0.0019943292200332507,0.0006312230398179963
505,0.00022013006993802265,0.001965139860112686,0.0006148465399746783
507,0.00021848474978469312,0.0020023486102581957,0.0006283827699371614
509,0.00022151323006255552,0.0020127632800722496,0.0006343490100698545
511,0.0002207846997771412,0.0020490474402322435,0.0006719664900447242
