length,rapidfuzz,python-Levenshtein
143,2.9293380030139815e-06,2.2170842999912565e-05
145,2.980754998134216e-06,2.2787788999266922e-05
147,3.0067059997236357e-06,2.34046160003345e-05
149,3.0448510005953722e-06,2.404278999892995e-05
151,3.0942239973228424e-06,2.4670007998793152e-05
153,3.138435000437312e-06,2.5332846998935565e-05
155,3.1191550006042233e-06,2.5980982001783558e-05
157,3.1581880029989407e-06,2.664249900044524e-05
159,3.2115840003825725e-06,2.732840700264205e-05
161,3.324657998746261e-06,2.801514800012228e-05
163,3.272826001193607e-06,2.8701378996629502e-05
165,3.308176997961709e-06,2.9406192999886115e-05
167,3.3442149979237e-06,3.0100380001385928e-05
169,3.3808389998739584e-06,3.081379200011725e-05
171,3.4166340010415296e-06,3.154944199923193e-05
173,3.4526390008977615e-06,3.228768099870649e-05
175,3.488081001705723e-06,3.3011422998242776e-05
177,3.5223129998485093e-06,3.376738900260534e-05
179,3.55820800177753e-06,3.452633800043259e-05
181,3.5955040002590975e-06,3.5284777000924806e-05
183,3.630714003520552e-06,3.606981000120868e-05
185,3.666762997454498e-06,3.6843775000306774e-05
187,3.7032309992355297e-06,3.764745199805475e-05
189,3.7365140015026556e-06,3.842952999912086e-05
191,3.7778189980599565e-06,3.9245997002581135e-05
193,4.630024999642046e-06,4.009805099849473e-05
195,4.686315998696955e-06,4.0887466999265596e-05
197,4.731885001092451e-06,4.172541099978844e-05
199,4.772701002366375e-06,4.257207100090454e-05
201,4.818712000997039e-06,4.3414261999714656e-05
203,4.864718001044821e-06,4.42741710030532e-05
205,4.907221002213191e-06,4.515596399869537e-05
207,4.953144998580683e-06,4.603339999812306e-05
209,4.997805997845717e-06,4.690771599780419e-05
211,5.037921000621281e-06,4.780510400087223e-05
213,5.079448001197306e-06,4.8702468997362304e-05
215,5.1418200018815695e-06,4.962222600079258e-05
217,5.174026999156922e-06,5.053158100054134e-05
219,5.216950998146785e-06,5.146839900044142e-05
221,5.259593999653589e-06,5.241342899898882e-05
223,5.309487001795788e-06,5.334128300091834e-05
225,5.352066000341438e-06,5.429771399940364e-05
227,5.389450001530349e-06,5.5271369998081354e-05
229,5.4432690012617964e-06,5.6246666998049474e-05
231,5.492337000760017e-06,5.722174499896937e-05
233,5.5285480011662e-06,5.816311300077359e-05
235,5.581846999120898e-06,5.906109100033063e-05
237,5.616723999992246e-06,6.012580199967488e-05
239,5.662220999511191e-06,6.120757900134776e-05
241,5.706366002414143e-06,6.210174300213111e-05
243,5.763371998909861e-06,6.32610519969603e-05
245,5.806315999507206e-06,6.418973600011668e-05
247,5.847345000802307e-06,6.517587800044566e-05
249,5.879340998944827e-06,6.639412399817956e-05
251,5.920961997617269e-06,6.737035399783053e-05
253,5.971488000795943e-06,6.849385800160235e-05
255,6.028040999808582e-06,6.939535399942543e-05
257,7.119267997040879e-06,
259,7.1898960013641045e-06,
261,7.247834000736475e-06,
263,7.307443000172498e-06,
265,7.3486049986968286e-06,
267,7.404593001410831e-06,
269,7.451663001120324e-06,
271,7.502079999540001e-06,
273,7.5532590017246545e-06,
275,7.6157079965923915e-06,
277,7.657873000425752e-06,
279,7.720159999735187e-06,
281,7.764944999507861e-06,
283,7.815608998498646e-06,
285,7.864227001846302e-06,
287,7.933565000712406e-06,
289,7.9909129999578e-06,
291,8.04641300055664e-06,
293,8.095223998680012e-06,
295,8.19476600008784e-06,
297,8.254046999354615e-06,
299,8.268542998848716e-06,
301,8.319330001540948e-06,
303,8.365203000721522e-06,
305,8.4094029989501e-06,
307,8.452086000033886e-06,
309,8.512714997777948e-06,
311,8.562089002225547e-06,
313,8.613975001935615e-06,
315,8.672142001159955e-06,
317,8.70904999828781e-06,
319,8.760986998822772e-06,
321,1.0181099998590071e-05,
323,1.0254421998979523e-05,
325,1.0315794999769422e-05,
327,1.0376272002758925e-05,
329,1.0433391998958541e-05,
331,1.043399699847214e-05,
333,1.0558438996667974e-05,
335,1.0616043000482023e-05,
337,1.0701788000005763e-05,
339,1.0763944999780505e-05,
341,1.0751557001640321e-05,
343,1.0883609000302386e-05,
345,1.094224099870189e-05,
347,1.1006179000105477e-05,
349,1.0990069997205865e-05,
351,1.105769700006931e-05,
353,1.1175416999321897e-05,
355,1.1232648001168854e-05,
357,1.129243000104907e-05,
359,1.1349045002134517e-05,
361,1.1347469000611454e-05,
363,1.139406799848075e-05,
365,1.1534793000464561e-05,
367,1.1586165997869102e-05,
369,1.1695573000906733e-05,
371,1.1749377998057753e-05,
373,1.1812402000941802e-05,
375,1.1869988997204928e-05,
377,1.193034699826967e-05,
379,1.198369100166019e-05,
381,1.204505900022923e-05,
383,1.2121160998503911e-05,
385,1.3734405998548028e-05,
387,1.3839148003171431e-05,
389,1.390762899973197e-05,
391,1.3978423001390184e-05,
393,1.4064621002034983e-05,
395,1.4136107998638181e-05,
397,1.4195920000929617e-05,
399,1.4260307998483769e-05,
401,1.4319512996735284e-05,
403,1.440900200032047e-05,
405,1.447246899988386e-05,
407,1.4431284002057509e-05,
409,1.4521236000291538e-05,
411,1.4674283000204014e-05,
413,1.4649940003437224e-05,
415,1.4816418002737919e-05,
417,1.4894330000970513e-05,
419,1.4982695996877737e-05,
421,1.5038404999359045e-05,
423,1.5136540998355486e-05,
425,1.5166949000558816e-05,
427,1.5262089000316337e-05,
429,1.5313507999962893e-05,
431,1.5405965998070315e-05,
433,1.5482713999517728e-05,
435,1.5537671999481974e-05,
437,1.56186969979899e-05,
439,1.569520900011412e-05,
441,1.577032400018652e-05,
443,1.583094300076482e-05,
445,1.5882118997978976e-05,
447,1.5964442998665618e-05,
449,1.7917952001880622e-05,
451,1.7928388002474095e-05,
453,1.8133491001208313e-05,
455,1.819837400034885e-05,
457,1.826715300194337e-05,
459,1.8355690997850616e-05,
461,1.842843100166647e-05,
463,1.8504235998989317e-05,
465,1.857958199980203e-05,
467,1.8573443998320728e-05,
469,1.876819199969759e-05,
471,1.8853860998206075e-05,
473,1.8885140998463613e-05,
475,1.894054399963352e-05,
477,1.904286900025909e-05,
479,1.910568500170484e-05,
481,1.9185843997547635e-05,
483,1.927839099880657e-05,
485,1.9331005998537877e-05,
487,1.9440864998614416e-05,
489,1.9505702999595088e-05,
491,1.959123100095894e-05,
493,1.9700485998328076e-05,
495,1.9776149998506297e-05,
497,1.983789099904243e-05,
499,1.992908499960322e-05,
501,2.000021700223442e-05,
503,2.0075207998161206e-05,
505,2.0127668001805433e-05,
507,2.022459599902504e-05,
509,2.0276803999877302e-05,
511,2.0369763999042335e-05,
