length,rapidfuzz,fuzzywuzzy
273,6.41297099355143E-06,7.93823410058394E-05
275,6.46527401113417E-06,8.05762540112482E-05
277,6.5012649865821E-06,8.16689740022412E-05
279,6.54182001017034E-06,8.27682780072792E-05
281,6.6188889904879E-06,8.39661560021341E-05
283,6.617045000894E-06,8.50764189963229E-05
285,6.67877399246208E-06,8.63329739950132E-05
287,6.72662300348748E-06,8.74978820065735E-05
289,6.861736997962E-06,8.85942460008664E-05
291,6.9011470041005E-06,8.98333960067248E-05
293,6.95999199524522E-06,9.09751319995848E-05
295,6.96051400154829E-06,9.22637629992096E-05
297,7.03438400523737E-06,9.34490630024811E-05
299,7.10433900530916E-06,9.47227930009831E-05
301,7.13598099537194E-06,9.58823290129658E-05
303,7.1669189928798E-06,9.71299020020524E-05
305,7.12753999687266E-06,9.85584059963003E-05
307,7.16632900002878E-06,9.9695454002358E-05
309,7.20461699529551E-06,0.000100937219991
311,7.28479601093568E-06,0.000102296486992
313,7.25522800348699E-06,0.000103408529001
315,7.34815299801994E-06,0.000104816310006
317,7.38639000337571E-06,0.000106102678998
319,7.43351200071629E-06,0.000107494801996
321,8.6376450053649E-06,0.000108732789988
323,8.71591600298416E-06,0.000110094213
325,8.75332599389367E-06,0.000111328826999
327,8.80229700123891E-06,0.000112854489998
329,8.88636900344864E-06,0.000114125079999
331,8.88910501089413E-06,0.000115577984005
333,8.96078400546685E-06,0.000116924818998
335,9.03505099995527E-06,0.00011817927401
337,9.08918400818948E-06,0.000119527608011
339,9.12069100013468E-06,0.000120996882993
341,9.17680699785706E-06,0.000122432700999
343,9.20581500395201E-06,0.000123789175996
345,9.29776900738943E-06,0.000125172678003
347,9.31558600859717E-06,0.000126599074996
349,9.38536100147758E-06,0.000127911742995
351,9.44286200683564E-06,0.000129365734989
353,9.49172698892653E-06,0.000131005023009
355,9.53752599889413E-06,0.000132510823998
357,9.62291599716991E-06,0.000133868931007
359,9.6518969949102E-06,0.000135370803997
361,9.68760800606106E-06,0.000136770462006
363,9.78056799795013E-06,0.000138328636007
365,9.78543001110666E-06,0.000139893161002
367,9.89314200705849E-06,0.000141322620009
369,9.87120899662841E-06,0.000142864795998
371,9.9516920017777E-06,0.000144380511003
373,9.99426899943501E-06,0.000145822620005
375,1.00600120058516E-05,0.000147481121996
377,1.01154099975247E-05,0.000149044305013
379,1.01742279948667E-05,0.000150586406002
381,1.02027039974928E-05,0.000152155056989
383,1.02734510001028E-05,0.000153581202991
385,1.18056490027811E-05,0.000155360892997
387,1.18950799951563E-05,0.000156954460006
389,1.19384580029873E-05,0.000158441915002
391,1.19982710020849E-05,0.000160083897994
393,1.20505920058349E-05,0.000161679600002
395,1.21421450021444E-05,0.000163177983006
397,1.21843419910874E-05,0.000165033409008
399,1.21576740057208E-05,0.000166688889003
401,1.23518629989121E-05,0.000168310164998
403,1.23718709946843E-05,0.000169883499999
405,1.24258760042721E-05,0.000171478445001
407,1.24688240030082E-05,0.000173235908005
409,1.25262159999693E-05,0.000174922795995
411,1.25736799964216E-05,0.000176772463994
413,1.2655831000302E-05,0.000178342996995
415,1.27485440025339E-05,0.00017996222699
417,1.28131850069622E-05,0.000181663947995
419,1.2836324996897E-05,0.000183385594995
421,1.29534379957477E-05,0.000185167958
423,1.2964441004442E-05,0.000186913052006
425,1.31087369954912E-05,0.000188666875998
427,1.30532370094443E-05,0.000190288011989
429,1.31769619911211E-05,0.000192092617988
431,1.32523389911512E-05,0.000193805528994
433,1.32090419938322E-05,0.000195619178994
435,1.33004229865037E-05,0.000197362951003
437,1.33471580047626E-05,0.000199235876004
439,1.34300479985541E-05,0.000201064831999
441,1.34617069998058E-05,0.000202925346995
443,1.35227569990093E-05,0.000204652682994
445,1.36324210034218E-05,0.000206575542004
447,1.36431760038249E-05,0.000208428221013
449,1.54434530122671E-05,0.000210248226998
451,1.5599579011905E-05,0.000212060229009
453,1.56025320029585E-05,0.000213861551994
455,1.57169750018511E-05,0.000215943820003
457,1.57774929975858E-05,0.000217719894994
459,1.58968800096773E-05,0.000219702319999
