length,partial_token_ratio,"max(partial_token_sort_ratio, partial_token_set_ratio)"
441,0.00041752524898038245,0.0008602261249907315
443,0.0004239536410022993,0.0008712323229992762
445,0.0004279739490011707,0.0008822890329756774
447,0.0004376335569832008,0.0008972137400123756
449,0.0004354473709827289,0.0008948224280029535
451,0.00045206440199399366,0.0009323953629937023
453,0.0004666444240137935,0.0009597712050017436
455,0.0004661493670137133,0.000965665463998448
457,0.0004544681999832392,0.0009519735199864953
459,0.000466312520991778,0.0009676026859960985
461,0.0004759542249958031,0.0009758289000019431
463,0.00047381403899635186,0.0009804872820095626
465,0.0004770091650134418,0.000990190219017677
467,0.0004885396699828562,0.0010051274079887662
469,0.0004929069049831015,0.0010169109239941464
471,0.0004917370640032459,0.001021686594001949
473,0.0004995015650056302,0.0010332178260141517
475,0.0005002654720155988,0.0010388674210116732
477,0.0005050332109967713,0.0010415412659931461
479,0.0005102414900029544,0.001055218749010237
481,0.0005183901440177579,0.0010670188020158093
483,0.000515046065003844,0.0010704784480039962
485,0.0005192736930039245,0.0010807455590111203
487,0.0005088202790066134,0.001068088551022811
489,0.000525204511010088,0.0010894504990137648
491,0.0005318662550125736,0.0011051788039912935
493,0.0005387566880090162,0.0011160894480126444
495,0.0005388509879994672,0.0011138173209910747
497,0.000547170132980682,0.0011362499679962639
499,0.0005449304259964265,0.001132676948007429
501,0.0005558100949856452,0.0011489039880107157
503,0.0005557468570186756,0.0011452532960101961
505,0.0005618468000029679,0.0011659219739958643
507,0.0005717160319909454,0.0011812417390174232
509,0.0005668506539950613,0.0011735790230159183
511,0.0005687539770151489,0.0011784890669805463
