length,rapidfuzz,polyleven,python-Levenshtein,edlib,editdistance
289,1.0768792250019E-05,1.92825289996108E-05,,4.70983512001112E-05,3.42403835002187E-05
291,1.08201147486398E-05,1.94961930001227E-05,,4.71928807999575E-05,3.44217335004942E-05
293,1.08427880004456E-05,1.96649429999525E-05,,4.7259648599902E-05,3.46334705000117E-05
295,1.09207737514225E-05,1.98578919998909E-05,,4.71546663000481E-05,3.48634285001026E-05
297,1.09715157486789E-05,1.98897380000744E-05,,4.72195404001468E-05,3.51453350003794E-05
299,1.10726537495793E-05,2.01194829996893E-05,,4.72038059000624E-05,3.52765055004056E-05
301,1.1135746997752E-05,2.03326050000214E-05,,4.71572981999998E-05,3.58245795005132E-05
303,1.12037004982994E-05,2.05398130001413E-05,,4.74207859999297E-05,3.56606314999226E-05
305,1.12569094999344E-05,2.05607160000909E-05,,4.7506932000033E-05,3.59716844996001E-05
307,1.13221944993711E-05,2.08656989998417E-05,,4.75676476000444E-05,3.61554965002142E-05
309,1.1381106749468E-05,2.09550060003494E-05,,4.76677852000648E-05,3.65011724998112E-05
311,1.1442010752944E-05,2.10980209999434E-05,,4.77325121000831E-05,3.66710899997997E-05
313,1.15377537513268E-05,2.1338193000247E-05,,4.78744220999943E-05,3.68738569995912E-05
315,1.16001512506045E-05,2.13583380000273E-05,,4.78712111998902E-05,3.70350419998431E-05
317,1.16454472481564E-05,2.17194239999117E-05,,4.81441851999989E-05,3.73971445005736E-05
319,1.17081444986979E-05,2.19208829998934E-05,,4.84096696000051E-05,3.75748205005948E-05
321,1.45662102513597E-05,2.41856040001949E-05,,5.32008678999773E-05,4.00279925006544E-05
323,1.46789957470901E-05,2.46050079999804E-05,,5.34052992999932E-05,3.98439055006747E-05
325,1.47387047472876E-05,2.47991520000141E-05,,5.34296301000722E-05,4.03507074997833E-05
327,1.48325305017352E-05,2.49300489999769E-05,,5.35347105998881E-05,4.0444009499879E-05
329,1.49224215019785E-05,2.53259940000134E-05,,5.36890201999995E-05,4.09832259992982E-05
331,1.4981101750891E-05,2.54804760002116E-05,,5.36619982000047E-05,4.09025364997433E-05
333,1.51137677494262E-05,2.56854500003101E-05,,5.38802392000434E-05,4.13574730000619E-05
335,1.51850912516238E-05,2.5886772999911E-05,,5.39688385000773E-05,4.13203020007131E-05
337,1.52299024994136E-05,2.60741749998488E-05,,5.38534082999831E-05,4.17978014993423E-05
339,1.53150227488368E-05,2.63793989997794E-05,,5.3902563200063E-05,4.17842835004194E-05
341,1.53942774995812E-05,2.65244960000928E-05,,5.38543947999642E-05,4.23505204998946E-05
343,1.5489238750888E-05,2.68760009998914E-05,,5.408674600003E-05,4.23200739996901E-05
345,1.55234172489145E-05,2.70490240000072E-05,,5.41847803000564E-05,4.27541010003552E-05
347,1.5625913751137E-05,2.71190130001742E-05,,5.42934130000503E-05,4.26868254999135E-05
349,1.57468424986291E-05,2.74182859998291E-05,,5.43207480999627E-05,4.30341219998809E-05
351,1.58112187491497E-05,2.74702149999939E-05,,5.43641876000038E-05,4.3030490000092E-05
353,1.58804282473284E-05,2.79599899999994E-05,,5.44368816001224E-05,4.34588815005554E-05
355,1.59429807499691E-05,2.80879669999194E-05,,5.45514346000346E-05,4.3436328000098E-05
357,1.60136107515427E-05,2.82008359999963E-05,,5.45961241001351E-05,4.37923130002673E-05
359,1.6085791750811E-05,2.84067659999891E-05,,5.45412415000101E-05,4.39972295007465E-05
361,1.61807027507166E-05,2.86477989998275E-05,,5.46567691999371E-05,4.43105004997051E-05
363,1.62544857485045E-05,2.89549819999593E-05,,5.47415590999662E-05,4.44166414999927E-05
365,1.63090677488071E-05,2.91266250001172E-05,,5.47800574000576E-05,4.47646950005947E-05
367,1.63692704991263E-05,2.92434469997715E-05,,5.49492465999719E-05,4.49347670000861E-05
